"record type","record ID","displayed name","period","verification status","spatial precision","source count","claim count","license","current warning","historian decision","cartographer decision","corrected date","corrected source","corrected geometry required","reviewer comment"
"entities","saka-communities","Сакские сообщества","-800–-300","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"entities","first-turkic-khaganate","Тюркский каганат","552–603","reviewed","unknown","2","0","not_applicable","exhibition_ready","","","","","",""
"entities","kazakh-khanate","Казахское ханство","1465–1847","reviewed","unknown","3","0","not_applicable","exhibition_ready","","","","","",""
"entities","kazakh-ssr","Казахская ССР","1936–1991","reviewed","unknown","1","0","not_applicable","exhibition_ready","","","","","",""
"entities","republic-kazakhstan","Республика Казахстан","1991–","reviewed","unknown","2","0","not_applicable","exhibition_ready","","","","","",""
"entities","western-turkic-khaganate","Западно-Тюркский каганат","603–704","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","turgesh-khaganate","Тюргешский каганат","704–756","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","karluk-state","Карлукское государство","756–940","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","oghuz-state","Огузское государство","756–1055","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","kimak-khaganate","Кимакский каганат","840–1050","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","karakhanid-state","Караханидское государство","840–1212","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","abulkhair-state","Государство Абулхаира","1428–1468","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","moghulistan","Могулистан","1347–1514","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","nogai-horde","Ногайская Орда","1440–1634","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","timurid-state","Государство Тимуридов","1370–1507","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","sibir-khanate","Сибирское ханство","1468–1598","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","dzungar-khanate","Джунгарское ханство","1635–1758","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","bukhara-khanate","Бухарское ханство","1500–1785","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","khiva-khanate","Хивинское ханство","1511–1920","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","russian-empire","Российская империя","1721–1917","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"entities","qing-empire","Цинская империя","1644–1912","needs_review","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"geometries","saka-550","saka-550","-800–-300","reviewed","coarse_reconstruction","1","0","not_applicable","exhibition_ready","","","","","",""
"geometries","turkic-552","turkic-552","552–603","reviewed","coarse_reconstruction","1","0","not_applicable","exhibition_ready","","","","","",""
"geometries","western-turkic-604","western-turkic-604","604–703","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","turgesh-704","turgesh-704","704–755","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","karluk-756","karluk-756","756–839","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","oghuz-756","oghuz-756","756–941","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","kimak-840","kimak-840","840–941","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","karakhanid-840","karakhanid-840","840–941","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","abulkhair-1428","abulkhair-1428","1428–1468","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","moghulistan-1347","moghulistan-1347","1347–1514","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","nogai-1440","nogai-1440","1440–1634","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","timurid-1370","timurid-1370","1370–1507","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","sibir-1468","sibir-1468","1468–1598","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","khanate-1465","khanate-1465","1465–1509","reviewed","generalized","2","0","not_applicable","exhibition_ready","","","","","",""
"geometries","khanate-1510","khanate-1510","1510–1512","reviewed","coarse_reconstruction","2","0","not_applicable","exhibition_ready","","","","","",""
"geometries","khanate-1513","khanate-1513","1513–1521","reviewed","coarse_reconstruction","2","0","not_applicable","exhibition_ready","","","","","",""
"geometries","khanate-1522","khanate-1522","1522–1634","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","khanate-1635","khanate-1635","1635–1722","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","khanate-1723","khanate-1723","1723–1730","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","khanate-1731","khanate-1731","1731–1847","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","dzungar-1635","dzungar-1635","1635–1758","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","bukhara-1500","bukhara-1500","1500–1785","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","khiva-1511","khiva-1511","1511–1847","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","russian-1721","russian-1721","1721–1847","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","qing-1644","qing-1644","1644–1847","needs_review","coarse_reconstruction","0","0","not_applicable","educational_reconstruction","","","","","",""
"geometries","kazakh-ssr-1936","kazakh-ssr-1936","1936–1990","reviewed","generalized","1","0","not_applicable","exhibition_ready","","","","","",""
"geometries","republic-1991","republic-1991","1991–","verified","generalized","1","0","not_applicable","exhibition_ready","","","","","",""
"labels","saka-label","saka-label","-800–-300","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","first-turkic-label","first-turkic-label","552–603","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","western-turkic-label","western-turkic-label","604–704","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","turgesh-label","turgesh-label","704–756","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","karluk-label","karluk-label","756–840","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","oghuz-label","oghuz-label","756–942","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","kimak-label","kimak-label","840–942","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","karakhanid-label","karakhanid-label","840–942","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","kazakh-1465-label","kazakh-1465-label","1465–1509","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","kazakh-1510-label","kazakh-1510-label","1510–1512","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","kazakh-1513-label","kazakh-1513-label","1513–1521","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","kazakh-late-label","kazakh-late-label","1522–1847","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","abulkhair-label","abulkhair-label","1428–1468","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","moghulistan-label","moghulistan-label","1347–1514","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","nogai-label","nogai-label","1440–1634","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","timurid-label","timurid-label","1370–1507","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","sibir-label","sibir-label","1468–1598","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","dzungar-label","dzungar-label","1635–1758","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","bukhara-label","bukhara-label","1500–1785","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","khiva-label","khiva-label","1511–1920","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","russian-label","russian-label","1721–1847","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","qing-label","qing-label","1644–1847","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","kazakh-ssr-label","kazakh-ssr-label","1936–1990","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"labels","republic-label","republic-label","1991–","missing","unknown","0","0","not_applicable","scientific_review_required","","","","","",""
"events","saka-archaeological-record","Археологическое наследие саков","-550–-300","missing","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"events","formation-turkic-khaganate","Образование Тюркского каганата","552–552","missing","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"events","formation-kazakh-khanate","Образование Казахского ханства","1465–1466","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"events","kasym-khan-consolidation","Укрепление ханства при Касым хане","1511–1521","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"events","kazakh-ssr-status","Образование Казахской ССР","1936–1936","missing","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"events","independence-kazakhstan","Государственная независимость","1991–1991","missing","unknown","2","1","not_applicable","scientific_review_required","","","","","",""
"people","bumin-qaghan","Бумын-каган","–","missing","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"people","kerei-khan","Керей хан","–","missing","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"people","janibek-khan","Жанибек хан","–","missing","unknown","1","0","not_applicable","scientific_review_required","","","","","",""
"people","kasym-khan","Касым хан","–","missing","unknown","2","0","not_applicable","scientific_review_required","","","","","",""
"places","taraz","Талас","500–","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
"places","otrar","Отырар","500–","needs_review","approximate","1","1","not_applicable","educational_reconstruction","","","","","",""
"places","sayram","Испиджаб","500–","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
"places","turkistan","Ясы","500–","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
"places","syganak","Сыганак","500–","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
"places","saraishyk","Сарайчик","500–","needs_review","approximate","1","0","not_applicable","educational_reconstruction","","","","","",""
